20,0,0,49,49
18,0,12,49,12
22,7,0,7,49
31,49,5,0,45
26,0,18,49,31
19,23,0,49,40
24,49,49,0,49
28,0,33,49,2
17,15,49,49,15
21,49,0,0,49
30,11,0,49,11
23,0,49,36,0
29,49,21,12,49
20,5,0,0,27
27,49,44,18,0
18,0,9,49,38
25,32,49,49,7
34,49,13,0,13
21,41,0,8,49
19,0,25,49,25
30,49,49,49,0
22,0,0,0,49
26,49,30,17,0
28,24,49,49,24
20,0,40,40,49
33,49,9,9,0
18,0,16,32,49
24,6,49,49,41
27,49,18,0,3
31,0,49,49,28
19,14,0,0,35
22,49,6,49,49
25,0,22,49,47
20,39,49,0,4
28,49,1,21,49
23,0,8,49,8
26,13,0,36,49
30,49,27,0,27
21,4,49,49,32
18,0,37,49,5
32,49,49,18,0
24,27,0,49,20
29,0,14,35,49
20,49,42,0,18
17,10,49,10,0
31,0,29,49,44
22,49,16,5,49
25,43,0,0,7
27,0,49,49,34
30,49,23,0,0
